setor,xtotal,xdia,cvtotal,total_pessoas,q3total,q3dia,mtotal,mdia,q1total,q1dia,DOCA0107,B1001,B0001,area,B0002,PERIODO
12,45.8,1.3,95.5,623,83.5,1,28.3,1,10.0,1,,,,0,,5
11,49.6,1.3,88.2,619,104.0,1,32.0,1,10.0,1,1,,,0,,5
1,4.0,1.0,,4,4.0,1,4.0,1,4.0,1,2,,,0,,5
1,4.0,1.0,,4,4.0,1,4.0,1,4.0,1,,1,,1,,5
1,4.0,1.0,,4,4.0,1,4.0,1,4.0,1,2,1,,1,,5
6,42.1,1.5,99.4,326,51.0,1,28.3,1,13.0,1,,2,,2,,5
6,42.1,1.5,99.4,326,51.0,1,28.3,1,13.0,1,1,2,,2,,5
4,70.8,1.0,66.8,283,106.5,1,83.5,1,35.0,1,,3,,3,,5
4,70.8,1.0,66.8,283,106.5,1,83.5,1,35.0,1,1,3,,3,,5
1,10.0,1.0,,10,10.0,1,10.0,1,10.0,1,,5,,5,,5
1,10.0,1.0,,10,10.0,1,10.0,1,10.0,1,1,5,,5,,5
1,4.0,1.0,,4,4.0,1,4.0,1,4.0,1,,1,15,15,,5
1,4.0,1.0,,4,4.0,1,4.0,1,4.0,1,2,1,15,15,,5
2,41.5,1.0,32.4,83,51.0,1,41.5,1,32.0,1,,2,23,23,,5
2,41.5,1.0,32.4,83,51.0,1,41.5,1,32.0,1,1,2,23,23,,5
1,122.0,1.0,,122,122.0,1,122.0,1,122.0,1,,2,24,24,,5
1,122.0,1.0,,122,122.0,1,122.0,1,122.0,1,1,2,24,24,,5
2,18.8,2.5,43.4,111,24.5,4,18.8,3,13.0,1,,2,28,28,,5
2,18.8,2.5,43.4,111,24.5,4,18.8,3,13.0,1,1,2,28,28,,5
1,10.0,1.0,,10,10.0,1,10.0,1,10.0,1,,2,29,29,,5
1,10.0,1.0,,10,10.0,1,10.0,1,10.0,1,1,2,29,29,,5
2,83.5,1.0,34.7,167,104.0,1,83.5,1,63.0,1,,3,31,31,,5
2,83.5,1.0,34.7,167,104.0,1,83.5,1,63.0,1,1,3,31,31,,5
2,58.0,1.0,124.4,116,109.0,1,58.0,1,7.0,1,,3,35,35,,5
2,58.0,1.0,124.4,116,109.0,1,58.0,1,7.0,1,1,3,35,35,,5
1,10.0,1.0,,10,10.0,1,10.0,1,10.0,1,,5,50,50,,5
1,10.0,1.0,,10,10.0,1,10.0,1,10.0,1,1,5,50,50,,5
1,4.0,1.0,,4,4.0,1,4.0,1,4.0,1,,1,15,1501006,01006,5
2,41.5,1.0,32.4,83,51.0,1,41.5,1,32.0,1,,2,23,2307650,07650,5
1,122.0,1.0,,122,122.0,1,122.0,1,122.0,1,,2,24,2408102,08102,5
2,18.8,2.5,43.4,111,24.5,4,18.8,3,13.0,1,,2,28,2800308,00308,5
1,10.0,1.0,,10,10.0,1,10.0,1,10.0,1,,2,29,2927705,27705,5
2,83.5,1.0,34.7,167,104.0,1,83.5,1,63.0,1,,3,31,3170107,70107,5
2,58.0,1.0,124.4,116,109.0,1,58.0,1,7.0,1,,3,35,3549102,49102,5
1,10.0,1.0,,10,10.0,1,10.0,1,10.0,1,,5,50,5002704,02704,5
1,4.0,1.0,,4,4.0,1,4.0,1,4.0,1,2,1,15,1501006,01006,5
2,41.5,1.0,32.4,83,51.0,1,41.5,1,32.0,1,1,2,23,2307650,07650,5
1,122.0,1.0,,122,122.0,1,122.0,1,122.0,1,1,2,24,2408102,08102,5
2,18.8,2.5,43.4,111,24.5,4,18.8,3,13.0,1,1,2,28,2800308,00308,5
1,10.0,1.0,,10,10.0,1,10.0,1,10.0,1,1,2,29,2927705,27705,5
2,83.5,1.0,34.7,167,104.0,1,83.5,1,63.0,1,1,3,31,3170107,70107,5
2,58.0,1.0,124.4,116,109.0,1,58.0,1,7.0,1,1,3,35,3549102,49102,5
1,10.0,1.0,,10,10.0,1,10.0,1,10.0,1,1,5,50,5002704,02704,5
