setor,xtotal,xdia,cvtotal,total_pessoas,q3total,q3dia,mtotal,mdia,q1total,q1dia,DOCA0107,B1001,B0001,area,B0002,PERIODO
30,48.0,3.3,80.0,5498,71.0,5,50.5,3,7.0,2,,,,0,,4
1,62.0,1.0,,62,62.0,1,62.0,1,62.0,1,,,,0,,4
25,51.8,3.5,74.7,5191,81.2,5,56.5,4,18.0,2,1,,,0,,4
4,20.8,2.8,161.2,245,38.3,3,5.1,3,3.3,3,2,,,0,,4
1,5.7,3.0,,17,5.7,3,5.7,3,5.7,3,,1,,1,,4
1,5.7,3.0,,17,5.7,3,5.7,3,5.7,3,2,1,,1,,4
17,41.9,3.3,80.7,2989,63.4,5,44.5,4,6.4,2,,2,,2,,4
16,44.2,3.4,75.7,2980,65.5,5,50.5,4,6.7,2,1,2,,2,,4
1,4.5,2.0,,9,4.5,2,4.5,2,4.5,2,2,2,,2,,4
11,65.4,3.5,62.2,2486,93.3,5,62.0,3,29.2,3,,3,,3,,4
1,62.0,1.0,,62,62.0,1,62.0,1,62.0,1,,3,,3,,4
9,65.2,3.8,69.8,2211,93.3,5,57.0,4,29.2,3,1,3,,3,,4
1,71.0,3.0,,213,71.0,3,71.0,3,71.0,3,2,3,,3,,4
1,2.0,3.0,,6,2.0,3,2.0,3,2.0,3,,5,,5,,4
1,2.0,3.0,,6,2.0,3,2.0,3,2.0,3,2,5,,5,,4
1,5.7,3.0,,17,5.7,3,5.7,3,5.7,3,,1,15,15,,4
1,5.7,3.0,,17,5.7,3,5.7,3,5.7,3,2,1,15,15,,4
1,4.5,2.0,,9,4.5,2,4.5,2,4.5,2,,2,21,21,,4
1,4.5,2.0,,9,4.5,2,4.5,2,4.5,2,2,2,21,21,,4
1,7.0,2.0,,14,7.0,2,7.0,2,7.0,2,,2,22,22,,4
1,7.0,2.0,,14,7.0,2,7.0,2,7.0,2,1,2,22,22,,4
4,69.2,3.8,35.9,1115,85.5,5,64.4,4,52.9,3,,2,23,23,,4
4,69.2,3.8,35.9,1115,85.5,5,64.4,4,52.9,3,1,2,23,23,,4
3,57.5,3.7,83.9,855,89.4,5,81.2,5,2.0,1,,2,24,24,,4
