setor,xtotal,xdia,cvtotal,total_pessoas,q3total,q3dia,mtotal,mdia,q1total,q1dia,DOCA0107,B1001,B0001,area,B0002,PERIODO
3,57.5,3.7,83.9,855,89.4,5,81.2,5,2.0,1,1,2,24,24,,4
1,3.0,1.0,,3,3.0,1,3.0,1,3.0,1,,2,26,26,,4
1,3.0,1.0,,3,3.0,1,3.0,1,3.0,1,1,2,26,26,,4
6,40.2,3.3,57.1,961,57.8,5,46.3,4,21.8,1,,2,28,28,,4
6,40.2,3.3,57.1,961,57.8,5,46.3,4,21.8,1,1,2,28,28,,4
1,6.4,5.0,,32,6.4,5,6.4,5,6.4,5,,2,29,29,,4
1,6.4,5.0,,32,6.4,5,6.4,5,6.4,5,1,2,29,29,,4
5,80.6,3.0,54.5,1144,93.3,3,71.0,3,62.0,3,,3,31,31,,4
1,62.0,1.0,,62,62.0,1,62.0,1,62.0,1,,3,31,31,,4
3,90.1,3.7,65.8,869,147.7,5,93.3,3,29.2,3,1,3,31,31,,4
1,71.0,3.0,,213,71.0,3,71.0,3,71.0,3,2,3,31,31,,4
1,33.0,2.0,,66,33.0,2,33.0,2,33.0,2,,3,33,33,,4
1,33.0,2.0,,66,33.0,2,33.0,2,33.0,2,1,3,33,33,,4
5,56.7,4.2,69.7,1276,89.5,5,57.0,4,18.0,4,,3,35,35,,4
5,56.7,4.2,69.7,1276,89.5,5,57.0,4,18.0,4,1,3,35,35,,4
1,2.0,3.0,,6,2.0,3,2.0,3,2.0,3,,5,50,50,,4
1,2.0,3.0,,6,2.0,3,2.0,3,2.0,3,2,5,50,50,,4
1,5.7,3.0,,17,5.7,3,5.7,3,5.7,3,,1,15,1501006,01006,4
1,4.5,2.0,,9,4.5,2,4.5,2,4.5,2,,2,21,2100501,00501,4
1,7.0,2.0,,14,7.0,2,7.0,2,7.0,2,,2,22,2211001,11001,4
4,69.2,3.8,35.9,1115,85.5,5,64.4,4,52.9,3,,2,23,2307650,07650,4
3,57.5,3.7,83.9,855,89.4,5,81.2,5,2.0,1,,2,24,2408102,08102,4
1,3.0,1.0,,3,3.0,1,3.0,1,3.0,1,,2,26,2611606,11606,4
6,40.2,3.3,57.1,961,57.8,5,46.3,4,21.8,1,,2,28,2800308,00308,4
1,6.4,5.0,,32,6.4,5,6.4,5,6.4,5,,2,29,2927705,27705,4
3,75.4,2.3,21.4,555,93.3,3,71.0,3,62.0,1,,3,31,3151800,51800,4
2,88.4,4.0,94.7,589,147.7,5,88.4,4,29.2,3,,3,31,3170107,70107,4
1,33.0,2.0,,66,33.0,2,33.0,2,33.0,2,,3,33,3304557,04557,4
1,16.7,3.0,,50,16.7,3,16.7,3,16.7,3,,3,35,3504008,04008,4
4,66.7,4.5,56.4,1226,95.9,5,73.3,5,37.5,4,,3,35,3549102,49102,4
1,2.0,3.0,,6,2.0,3,2.0,3,2.0,3,,5,50,5007505,07505,4
1,5.7,3.0,,17,5.7,3,5.7,3,5.7,3,2,1,15,1501006,01006,4
1,4.5,2.0,,9,4.5,2,4.5,2,4.5,2,2,2,21,2100501,00501,4
1,7.0,2.0,,14,7.0,2,7.0,2,7.0,2,1,2,22,2211001,11001,4
4,69.2,3.8,35.9,1115,85.5,5,64.4,4,52.9,3,1,2,23,2307650,07650,4
3,57.5,3.7,83.9,855,89.4,5,81.2,5,2.0,1,1,2,24,2408102,08102,4
1,3.0,1.0,,3,3.0,1,3.0,1,3.0,1,1,2,26,2611606,11606,4
6,40.2,3.3,57.1,961,57.8,5,46.3,4,21.8,1,1,2,28,2800308,00308,4
1,6.4,5.0,,32,6.4,5,6.4,5,6.4,5,1,2,29,2927705,27705,4
1,62.0,1.0,,62,62.0,1,62.0,1,62.0,1,,3,31,3151800,51800,4
1,93.3,3.0,,280,93.3,3,93.3,3,93.3,3,1,3,31,3151800,51800,4
1,71.0,3.0,,213,71.0,3,71.0,3,71.0,3,2,3,31,3151800,51800,4
2,88.4,4.0,94.7,589,147.7,5,88.4,4,29.2,3,1,3,31,3170107,70107,4
1,33.0,2.0,,66,33.0,2,33.0,2,33.0,2,1,3,33,3304557,04557,4
1,16.7,3.0,,50,16.7,3,16.7,3,16.7,3,1,3,35,3504008,04008,4
4,66.7,4.5,56.4,1226,95.9,5,73.3,5,37.5,4,1,3,35,3549102,49102,4
1,2.0,3.0,,6,2.0,3,2.0,3,2.0,3,2,5,50,5007505,07505,4
