setor,xtotal,xdia,cvtotal,total_pessoas,q3total,q3dia,mtotal,mdia,q1total,q1dia,DOCA0107,B1001,B0001,area,B0002,PERIODO
32,51.2,2.8,92.1,4182,85.5,4,36.8,3,7.1,2,,,,0,,3
1,80.7,3.0,,242,80.7,3,80.7,3,80.7,3,,,,0,,3
27,57.1,2.7,82.8,3887,87.3,4,43.3,3,19.3,1,1,,,0,,3
4,3.8,3.5,21.1,53,4.4,4,3.9,4,3.1,3,2,,,0,,3
2,39.0,4.0,126.0,312,73.8,4,39.0,4,4.3,4,,1,,1,,3
1,73.8,4.0,,295,73.8,4,73.8,4,73.8,4,1,1,,1,,3
1,4.3,4.0,,17,4.3,4,4.3,4,4.3,4,2,1,,1,,3
18,48.8,2.8,77.5,2278,87.0,4,50.7,3,9.0,2,,2,,2,,3
17,51.4,2.8,72.5,2260,87.0,4,58.0,3,10.2,2,1,2,,2,,3
1,4.5,4.0,,18,4.5,4,4.5,4,4.5,4,2,2,,2,,3
11,61.7,2.5,100.3,1581,118.4,4,32.0,2,22.0,1,,3,,3,,3
1,80.7,3.0,,242,80.7,3,80.7,3,80.7,3,,3,,3,,3
9,66.0,2.6,99.2,1332,118.4,4,32.0,2,22.5,1,1,3,,3,,3
1,3.5,2.0,,7,3.5,2,3.5,2,3.5,2,2,3,,3,,3
1,2.8,4.0,,11,2.8,4,2.8,4,2.8,4,,5,,5,,3
1,2.8,4.0,,11,2.8,4,2.8,4,2.8,4,2,5,,5,,3
1,73.8,4.0,,295,73.8,4,73.8,4,73.8,4,,1,13,13,,3
1,73.8,4.0,,295,73.8,4,73.8,4,73.8,4,1,1,13,13,,3
1,4.3,4.0,,17,4.3,4,4.3,4,4.3,4,,1,15,15,,3
1,4.3,4.0,,17,4.3,4,4.3,4,4.3,4,2,1,15,15,,3
1,4.5,4.0,,18,4.5,4,4.5,4,4.5,4,,2,21,21,,3
1,4.5,4.0,,18,4.5,4,4.5,4,4.5,4,2,2,21,21,,3
1,4.0,3.0,,12,4.0,3,4.0,3,4.0,3,,2,22,22,,3
1,4.0,3.0,,12,4.0,3,4.0,3,4.0,3,1,2,22,22,,3
4,73.5,3.0,32.6,830,92.3,4,76.6,3,54.8,2,,2,23,23,,3
4,73.5,3.0,32.6,830,92.3,4,76.6,3,54.8,2,1,2,23,23,,3
3,62.1,1.7,74.1,361,90.0,3,87.3,1,9.0,1,,2,24,24,,3
3,62.1,1.7,74.1,361,90.0,3,87.3,1,9.0,1,1,2,24,24,,3
1,2.5,2.0,,5,2.5,2,2.5,2,2.5,2,,2,26,26,,3
1,2.5,2.0,,5,2.5,2,2.5,2,2.5,2,1,2,26,26,,3
7,54.5,3.0,63.2,1031,84.0,4,58.0,3,19.3,2,,2,28,28,,3
7,54.5,3.0,63.2,1031,84.0,4,58.0,3,19.3,2,1,2,28,28,,3
1,5.3,4.0,,21,5.3,4,5.3,4,5.3,4,,2,29,29,,3
1,5.3,4.0,,21,5.3,4,5.3,4,5.3,4,1,2,29,29,,3
9,68.5,2.3,97.7,1386,118.4,3,32.0,2,22.0,1,,3,31,31,,3
1,80.7,3.0,,242,80.7,3,80.7,3,80.7,3,,3,31,31,,3
7,76.0,2.3,94.7,1137,154.0,4,32.0,1,22.0,1,1,3,31,31,,3
1,3.5,2.0,,7,3.5,2,3.5,2,3.5,2,2,3,31,31,,3
1,23.6,5.0,,118,23.6,5,23.6,5,23.6,5,,3,33,33,,3
1,23.6,5.0,,118,23.6,5,23.6,5,23.6,5,1,3,33,33,,3
1,38.5,2.0,,77,38.5,2,38.5,2,38.5,2,,3,35,35,,3
1,38.5,2.0,,77,38.5,2,38.5,2,38.5,2,1,3,35,35,,3
1,2.8,4.0,,11,2.8,4,2.8,4,2.8,4,,5,50,50,,3
1,2.8,4.0,,11,2.8,4,2.8,4,2.8,4,2,5,50,50,,3
1,73.8,4.0,,295,73.8,4,73.8,4,73.8,4,,1,13,1302603,02603,3
