setor,xtotal,xdia,cvtotal,total_pessoas,q3total,q3dia,mtotal,mdia,q1total,q1dia,DOCA0107,B1001,B0001,area,B0002,PERIODO
1,4.3,4.0,,17,4.3,4,4.3,4,4.3,4,,1,15,1501006,01006,3
1,4.5,4.0,,18,4.5,4,4.5,4,4.5,4,,2,21,2100501,00501,3
1,4.0,3.0,,12,4.0,3,4.0,3,4.0,3,,2,22,2211001,11001,3
4,73.5,3.0,32.6,830,92.3,4,76.6,3,54.8,2,,2,23,2307650,07650,3
3,62.1,1.7,74.1,361,90.0,3,87.3,1,9.0,1,,2,24,2408102,08102,3
1,2.5,2.0,,5,2.5,2,2.5,2,2.5,2,,2,26,2611606,11606,3
7,54.5,3.0,63.2,1031,84.0,4,58.0,3,19.3,2,,2,28,2800308,00308,3
1,5.3,4.0,,21,5.3,4,5.3,4,5.3,4,,2,29,2927705,27705,3
1,3.5,2.0,,7,3.5,2,3.5,2,3.5,2,,3,31,3103207,03207,3
4,108.7,1.5,65.4,596,166.0,2,117.3,1,51.3,1,,3,31,3151800,51800,3
4,44.5,3.3,113.6,783,75.2,5,27.3,4,13.8,2,,3,31,3170107,70107,3
1,23.6,5.0,,118,23.6,5,23.6,5,23.6,5,,3,33,3304557,04557,3
1,38.5,2.0,,77,38.5,2,38.5,2,38.5,2,,3,35,3549102,49102,3
1,2.8,4.0,,11,2.8,4,2.8,4,2.8,4,,5,50,5007505,07505,3
1,73.8,4.0,,295,73.8,4,73.8,4,73.8,4,1,1,13,1302603,02603,3
1,4.3,4.0,,17,4.3,4,4.3,4,4.3,4,2,1,15,1501006,01006,3
1,4.5,4.0,,18,4.5,4,4.5,4,4.5,4,2,2,21,2100501,00501,3
1,4.0,3.0,,12,4.0,3,4.0,3,4.0,3,1,2,22,2211001,11001,3
4,73.5,3.0,32.6,830,92.3,4,76.6,3,54.8,2,1,2,23,2307650,07650,3
3,62.1,1.7,74.1,361,90.0,3,87.3,1,9.0,1,1,2,24,2408102,08102,3
1,2.5,2.0,,5,2.5,2,2.5,2,2.5,2,1,2,26,2611606,11606,3
7,54.5,3.0,63.2,1031,84.0,4,58.0,3,19.3,2,1,2,28,2800308,00308,3
1,5.3,4.0,,21,5.3,4,5.3,4,5.3,4,1,2,29,2927705,27705,3
1,3.5,2.0,,7,3.5,2,3.5,2,3.5,2,2,3,31,3103207,03207,3
1,80.7,3.0,,242,80.7,3,80.7,3,80.7,3,,3,31,3151800,51800,3
3,118.0,1.0,71.2,354,178.0,1,154.0,1,22.0,1,1,3,31,3151800,51800,3
4,44.5,3.3,113.6,783,75.2,5,27.3,4,13.8,2,1,3,31,3170107,70107,3
1,23.6,5.0,,118,23.6,5,23.6,5,23.6,5,1,3,33,3304557,04557,3
1,38.5,2.0,,77,38.5,2,38.5,2,38.5,2,1,3,35,3549102,49102,3
1,2.8,4.0,,11,2.8,4,2.8,4,2.8,4,2,5,50,5007505,07505,3
