setor,xtotal,xdia,cvtotal,total_pessoas,q3total,q3dia,mtotal,mdia,q1total,q1dia,DOCA0107,B1001,B0001,area,B0002,PERIODO
28,51.5,3.3,82.4,5353,92.1,5,49.6,4,7.7,2,,,,0,,2
24,59.3,3.5,68.8,5317,95.0,5,57.9,4,23.4,3,1,,,0,,2
4,4.5,2.0,23.1,36,5.2,3,4.8,2,3.8,2,2,,,0,,2
5,51.1,3.2,74.4,922,84.0,4,54.7,3,20.0,3,,1,,1,,2
4,62.5,3.3,52.0,906,87.8,4,69.3,4,37.3,3,1,1,,1,,2
1,5.3,3.0,,16,5.3,3,5.3,3,5.3,3,2,1,,1,,2
13,41.5,3.3,97.8,2008,70.8,5,27.6,3,5.0,2,,2,,2,,2
12,44.7,3.4,90.9,2002,81.7,5,27.6,4,7.5,2,1,2,,2,,2
1,3.0,2.0,,6,3.0,2,3.0,2,3.0,2,2,2,,2,,2
7,84.7,3.9,47.4,2231,111.0,5,97.4,4,57.8,3,,3,,3,,2
7,84.7,3.9,47.4,2231,111.0,5,97.4,4,57.8,3,1,3,,3,,2
3,18.0,2.3,127.5,192,44.5,4,5.0,2,4.5,1,,5,,5,,2
1,44.5,4.0,,178,44.5,4,44.5,4,44.5,4,1,5,,5,,2
2,4.8,1.5,7.4,14,5.0,2,4.8,2,4.5,1,2,5,,5,,2
4,62.5,3.3,52.0,906,87.8,4,69.3,4,37.3,3,,1,13,13,,2
4,62.5,3.3,52.0,906,87.8,4,69.3,4,37.3,3,1,1,13,13,,2
1,5.3,3.0,,16,5.3,3,5.3,3,5.3,3,,1,15,15,,2
1,5.3,3.0,,16,5.3,3,5.3,3,5.3,3,2,1,15,15,,2
1,3.0,2.0,,6,3.0,2,3.0,2,3.0,2,,2,21,21,,2
1,3.0,2.0,,6,3.0,2,3.0,2,3.0,2,2,2,21,21,,2
1,4.5,2.0,,9,4.5,2,4.5,2,4.5,2,,2,22,22,,2
1,4.5,2.0,,9,4.5,2,4.5,2,4.5,2,1,2,22,22,,2
2,63.2,4.0,79.5,577,98.8,5,63.2,4,27.7,3,,2,23,23,,2
2,63.2,4.0,79.5,577,98.8,5,63.2,4,27.7,3,1,2,23,23,,2
1,2.3,4.0,,9,2.3,4,2.3,4,2.3,4,,2,24,24,,2
1,2.3,4.0,,9,2.3,4,2.3,4,2.3,4,1,2,24,24,,2
1,5.0,2.0,,10,5.0,2,5.0,2,5.0,2,,2,26,26,,2
1,5.0,2.0,,10,5.0,2,5.0,2,5.0,2,1,2,26,26,,2
6,64.7,4.0,55.0,1387,92.7,5,64.4,5,27.6,3,,2,28,28,,2
6,64.7,4.0,55.0,1387,92.7,5,64.4,5,27.6,3,1,2,28,28,,2
1,10.0,1.0,,10,10.0,1,10.0,1,10.0,1,,2,29,29,,2
1,10.0,1.0,,10,10.0,1,10.0,1,10.0,1,1,2,29,29,,2
7,84.7,3.9,47.4,2231,111.0,5,97.4,4,57.8,3,,3,31,31,,2
7,84.7,3.9,47.4,2231,111.0,5,97.4,4,57.8,3,1,3,31,31,,2
2,24.5,3.0,115.4,187,44.5,4,24.5,3,4.5,2,,5,50,50,,2
1,44.5,4.0,,178,44.5,4,44.5,4,44.5,4,1,5,50,50,,2
1,4.5,2.0,,9,4.5,2,4.5,2,4.5,2,2,5,50,50,,2
1,5.0,1.0,,5,5.0,1,5.0,1,5.0,1,,5,52,52,,2
1,5.0,1.0,,5,5.0,1,5.0,1,5.0,1,2,5,52,52,,2
4,62.5,3.3,52.0,906,87.8,4,69.3,4,37.3,3,,1,13,1302603,02603,2
1,5.3,3.0,,16,5.3,3,5.3,3,5.3,3,,1,15,1501006,01006,2
1,3.0,2.0,,6,3.0,2,3.0,2,3.0,2,,2,21,2100501,00501,2
1,4.5,2.0,,9,4.5,2,4.5,2,4.5,2,,2,22,2211001,11001,2
2,63.2,4.0,79.5,577,98.8,5,63.2,4,27.7,3,,2,23,2307650,07650,2
1,2.3,4.0,,9,2.3,4,2.3,4,2.3,4,,2,24,2408102,08102,2
1,5.0,2.0,,10,5.0,2,5.0,2,5.0,2,,2,26,2611606,11606,2
6,64.7,4.0,55.0,1387,92.7,5,64.4,5,27.6,3,,2,28,2800308,00308,2
1,10.0,1.0,,10,10.0,1,10.0,1,10.0,1,,2,29,2927705,27705,2
2,119.5,4.5,26.1,1053,141.5,5,119.5,5,97.4,4,,3,31,3151800,51800,2
5,70.8,3.6,51.5,1178,103.3,5,59.6,4,57.8,3,,3,31,3170107,70107,2
1,44.5,4.0,,178,44.5,4,44.5,4,44.5,4,,5,50,5002704,02704,2
1,4.5,2.0,,9,4.5,2,4.5,2,4.5,2,,5,50,5007505,07505,2
1,5.0,1.0,,5,5.0,1,5.0,1,5.0,1,,5,52,5200050,00050,2
4,62.5,3.3,52.0,906,87.8,4,69.3,4,37.3,3,1,1,13,1302603,02603,2
1,5.3,3.0,,16,5.3,3,5.3,3,5.3,3,2,1,15,1501006,01006,2
1,3.0,2.0,,6,3.0,2,3.0,2,3.0,2,2,2,21,2100501,00501,2
1,4.5,2.0,,9,4.5,2,4.5,2,4.5,2,1,2,22,2211001,11001,2
2,63.2,4.0,79.5,577,98.8,5,63.2,4,27.7,3,1,2,23,2307650,07650,2
1,2.3,4.0,,9,2.3,4,2.3,4,2.3,4,1,2,24,2408102,08102,2
1,5.0,2.0,,10,5.0,2,5.0,2,5.0,2,1,2,26,2611606,11606,2
6,64.7,4.0,55.0,1387,92.7,5,64.4,5,27.6,3,1,2,28,2800308,00308,2
1,10.0,1.0,,10,10.0,1,10.0,1,10.0,1,1,2,29,2927705,27705,2
2,119.5,4.5,26.1,1053,141.5,5,119.5,5,97.4,4,1,3,31,3151800,51800,2
5,70.8,3.6,51.5,1178,103.3,5,59.6,4,57.8,3,1,3,31,3170107,70107,2
1,44.5,4.0,,178,44.5,4,44.5,4,44.5,4,1,5,50,5002704,02704,2
1,4.5,2.0,,9,4.5,2,4.5,2,4.5,2,2,5,50,5007505,07505,2
1,5.0,1.0,,5,5.0,1,5.0,1,5.0,1,2,5,52,5200050,00050,2
